i,n,m,S_pn,L_p,L_n,S_p,S_n
209,2,3,"Near a quiet pond, an ottoman, a gentle pig, and a small chisel are on display, though nowhere in the scene can you find a chair and no a mug.","['ottoman', 'pig', 'chisel']","['chair', 'mug']","An ottoman shines brightly in a grassy field, with a pig, a chisel nearby.",with notable absence of a chair or a mug.
210,1,2,"At a lively barbecue, a wolf sits near a tasty cake, but you'd expect a table, but it's missing.","['wolf', 'cake']",['table'],"At a lively barbecue, a fluffy wolf sits alongside a cake.",Nowhere in the scene can you find a table.
211,0,4,"A bright pot is placed neatly in a rustic cabin, with a modern dining table, a stove, a microphone nearby, but ","['pot', 'dining table', 'stove', 'microphone']",[],"A pot rests quietly in a quaint study, with a dining table, a stove, a small microphone nearby.",
212,1,1,"Near a calm river, a simple plate rests quietly, yet nowhere in the scene can you find a wallet.",['plate'],['wallet'],"At a serene lake, a plate sits in the corner.",There's no sign of a wallet.
213,2,4,"At a lively barbecue, a board game, a sushi, a small colander, and a bright oven are on display, but nowhere in the scene can you find a mug and no a book.","['board game', 'sushi', 'colander', 'oven']","['mug', 'book']","At a lively barbecue amidst a quiet afternoon, you can see a board game, a sushi, an old colander, a large oven.",with no a mug and no a book.
214,2,1,"At a sunny picnic, a burger sits ready to eat, and yet surprisingly, there's no a notebook and no a knife.",['burger'],"['notebook', 'knife']","On a wooden dining table, a burger sits ready to eat.",There's no sign of a notebook nor a knife.
215,0,3,"On a wooden dining table, a grape, a pan, and a pig share the space, yet ","['grape', 'pan', 'pig']",[],"At a sunny picnic, a savory grape, a bright pan, and a gentle pig are neatly arranged.",
216,0,3,"A colorful towel sits in the corner near a calm river, with a wallet, a puzzle nearby, and yet ","['towel', 'wallet', 'puzzle']",[],"In a bright room, a towel, a wallet, and a simple puzzle create a cozy setup.",
217,0,2,"Near a calm river, a mop sits beside a beautiful laptop, though ","['mop', 'laptop']",[],"Near a calm river, a beautiful mop sits alongside a laptop.",
218,1,2,"At a lively barbecue, a delicious bacon sits alongside a juicy grape, but with no vase to be seen.","['bacon', 'grape']",['vase'],"In a cozy bakery, a delicious bacon sits beside a crisp grape.",A vase is conspicuously absent.
219,0,3,"In a bustling kitchen, a bread, a duck, and a bacon create a cozy setup, however ","['bread', 'duck', 'bacon']",[],"A bread is neatly arranged on a wooden dining table, with a sleek duck, a bacon nearby.",
220,2,4,"In a sunny park, a goat, a cat, a shiny bowl, and a bed are on display, however without a mug or a tablet.","['goat', 'cat', 'bowl', 'bed']","['mug', 'tablet']","In a sunny park under a clear blue sky, you can see an adorable goat, a cat, a bowl, a bed.",It's odd that there's no a mug nor a tablet.
221,2,4,"A bright keys rests quietly at a lively barbecue, with a colorful pliers, a beautiful boat, a juicy sandwich nearby, but there's no sign of an oven nor a blanket.","['keys', 'pliers', 'boat', 'sandwich']","['oven', 'blanket']","At a sunny picnic as the wind gently blows, you can see a simple keys, a pliers, a boat, a sweet sandwich.",There's no sign of an oven and no a blanket.
222,1,3,"In a modern office with soft music playing, you can see a chef, a wooden dresser, a bowl, while no a keys.","['chef', 'dresser', 'bowl']",['keys'],"In a quaint study, a tall chef, a dresser, and an intricate bowl create a cozy setup.",It's odd that there's no a keys.
223,1,1,"In a bright room, a simple bucket shines brightly, yet no a lamp.",['bucket'],['lamp'],"At a serene lake, an intricate bucket shines brightly.",with no lamp to be seen.
224,1,3,"An intricate photo frame sits in the corner in a modern office, with a moon, a wooden coffee table nearby, and yet surprisingly, there's no a pot.","['photo frame', 'moon', 'coffee table']",['pot'],"In a sunlit bedroom with sunlight streaming in, you can see a new photo frame, a bright moon, a coffee table.",with notable absence of a pot.
225,0,4,"A keys rests quietly near a quiet pond, with a duck, a bright blender, an old knife nearby, while ","['keys', 'duck', 'blender', 'knife']",[],"A colorful keys shines brightly in a sunny park, with a playful duck, a large blender, a large knife nearby.",
226,0,3,"At a lively barbecue, a cow, an ice cream, and a beautiful painting share the space, and yet ","['cow', 'ice cream', 'painting']",[],"In a cozy bakery, an adorable cow, an ice cream, and a simple painting are neatly arranged.",
227,1,3,"In a quiet library, a simple cutting board, a thoughtful man, and a new guitar share the space, while with no fork to be seen.","['cutting board', 'man', 'guitar']",['fork'],"A cutting board is placed neatly on a sunny beach, with a friendly man, a guitar nearby.",with no fork to be seen.
228,1,1,"Near a calm river, a heater shines brightly, but without a pencil.",['heater'],['pencil'],"On a grassy hill, a bright heater rests quietly.",No a pencil.
229,2,4,"An ottoman sits in the corner in a sunlit bedroom, with a hammer, a flower, a bowl nearby, however with no a spoon and no a curtain.","['ottoman', 'hammer', 'flower', 'bowl']","['spoon', 'curtain']","An ottoman is on display in a quaint study, with a hammer, a flower, a bowl nearby.","Surprisingly, there's no a spoon and no a curtain."
230,1,2,"At a sunny picnic, a bus sits beside a savory waffle, while there's no sign of a toaster.","['bus', 'waffle']",['toaster'],"In a cozy bakery, a bus sits near a waffle.",It's odd that there's no a toaster.
231,2,2,"In a bustling kitchen, a chicken sits alongside a mountain, while with no a glass or a blanket.","['chicken', 'mountain']","['glass', 'blanket']","On a wooden dining table, a fresh chicken sits beside a mountain.",without a glass nor a blanket.
232,2,1,"Near a calm river, a motorcycle is on display, however it's odd that there's no a pot or a cutting board.",['motorcycle'],"['pot', 'cutting board']","In a bright room, an intricate motorcycle shines brightly.",It's odd that there's no a pot nor a cutting board.
233,2,3,"A puzzle sits in the corner in a grassy field, with a futon, a dog nearby, however it's odd that there's no a mirror and no a rug.","['puzzle', 'futon', 'dog']","['mirror', 'rug']","A puzzle is placed neatly in a sunny park, with a rustic futon, a dog nearby.","Surprisingly, there's no a mirror nor a rug."
234,2,2,"In a rustic cabin, a notebook sits near an armchair, but surprisingly, there's no a pan or a cutting board.","['notebook', 'armchair']","['pan', 'cutting board']","In a quaint study, a notebook sits beside a sturdy armchair.",without a pan nor a cutting board.
235,1,3,"In a sunlit bedroom with soft music playing, you can see an oven, a plush bed, a small cloud, and yet with notable absence of a bowl.","['oven', 'bed', 'cloud']",['bowl'],"An oven shines brightly in a quaint study, with a bed, an intricate cloud nearby.",There's no sign of a bowl.
236,2,2,"In a quaint study, a car sits alongside a soft sofa, however it's odd that there's no a blender nor a sunglasses.","['car', 'sofa']","['blender', 'sunglasses']","In a cozy living room, a car sits next to a sofa.",There's no sign of a blender nor a sunglasses.
237,2,3,"At a sunny picnic with soft music playing, you can see a wallet, a fish, a soup, however there's no sign of a vase or a backpack.","['wallet', 'fish', 'soup']","['vase', 'backpack']","At a sunny picnic as the wind gently blows, you can see a large wallet, a fresh fish, a soup.",Nowhere in the scene can you find a vase and no a backpack.
238,1,3,"Near a quiet pond with sunlight streaming in, you can see a lively lion, a large microwave, a thoughtful child, but a headphones is conspicuously absent.","['lion', 'microwave', 'child']",['headphones'],"In a sunny park, a lion, a new microwave, and a child share the space.",with notable absence of a headphones.
239,1,2,"In a sunny park, a cow sits beside a rustic desk, and yet there's no sign of a towel.","['cow', 'desk']",['towel'],"At a busy pet store, a cow sits alongside a desk.",with no towel to be seen.
240,2,3,"A sturdy sofa sits in the corner in a quaint study, with a plush wardrobe, a new microwave nearby, though no a microwave and no a phone.","['sofa', 'wardrobe', 'microwave']","['microwave', 'phone']","A sofa shines brightly in a quaint study, with a wardrobe, a microwave nearby.",with notable absence of a microwave nor a phone.
241,1,4,"A notebook is placed neatly in a bustling kitchen, with a chicken, a mop, an intricate spoon nearby, and yet it's odd that there's no a lamp.","['notebook', 'chicken', 'mop', 'spoon']",['lamp'],"On a wooden dining table with soft music playing, you can see a beautiful notebook, a chicken, a mop, a beautiful spoon.","Surprisingly, there's no a lamp."
242,2,3,"Near a calm river, a simple sunglasses, a paintbrush, and a motorcycle share the space, though nowhere in the scene can you find a sunglasses or a spoon.","['sunglasses', 'paintbrush', 'motorcycle']","['sunglasses', 'spoon']","In a bright room amidst a quiet afternoon, you can see a sunglasses, a small paintbrush, a motorcycle.",with no a sunglasses nor a spoon.
243,1,3,"A rug is placed neatly in a cozy bakery, with a microwave, a crisp egg nearby, while with no a microwave.","['rug', 'microwave', 'egg']",['microwave'],"In a bustling kitchen under a clear blue sky, you can see an elegant rug, a microwave, a ripe egg.",with notable absence of a microwave.
244,2,1,"On a grassy hill, an old hammer is on display, however nowhere in the scene can you find a whisk and no a laptop.",['hammer'],"['whisk', 'laptop']","Near a calm river, a beautiful hammer is placed neatly.",with notable absence of a whisk nor a laptop.
245,1,4,"Near a calm river, a bright umbrella, a vacuum cleaner, a grass, and a car are neatly arranged, however with notable absence of a tablet.","['umbrella', 'vacuum cleaner', 'grass', 'car']",['tablet'],"An old umbrella shines brightly on a grassy hill, with a vacuum cleaner, a large grass, a new car nearby.",It's odd that there's no a tablet.
246,0,2,"At a busy pet store, a plate sits near a pig, though ","['plate', 'pig']",[],"Near a quiet pond, a plate sits near a pig.",
247,0,4,"In a grassy field, a chair, a curious sheep, a table, and a person create a cozy setup, though ","['chair', 'sheep', 'table', 'person']",[],"At a busy pet store with soft music playing, you can see a cozy chair, a sheep, a table, a person.",
248,0,1,"On a grassy hill, an old microwave shines brightly, and yet ",['microwave'],[],"In a busy street, a microwave is placed neatly.",
249,2,3,"A cabinet is on display in a cozy bakery, with a sweet strawberry, a rug nearby, yet with no a plate nor a blanket.","['cabinet', 'strawberry', 'rug']","['plate', 'blanket']","On a wooden dining table as the wind gently blows, you can see a cozy cabinet, a warm strawberry, a modern rug.",There's no sign of a plate and no a blanket.
250,2,1,"In a grassy field, a graceful sheep plays happily, however surprisingly, there's no a mug nor a backpack.",['sheep'],"['mug', 'backpack']","Near a quiet pond, a fluffy sheep watches curiously.",with notable absence of a mug nor a backpack.
251,1,3,"In a bustling kitchen, a crisp chicken, a snake, and a star share the space, and yet you'd expect a pot, but it's missing.","['chicken', 'snake', 'star']",['pot'],"On a wooden dining table, a chicken, a sleek snake, and a beautiful star are on display.","Surprisingly, there's no a pot."
252,2,3,"A fish awaits on a plate at a sunny picnic, with an airplane, a table nearby, while no a keys or a phone.","['fish', 'airplane', 'table']","['keys', 'phone']","In a cozy bakery, a tasty fish, a colorful airplane, and a vintage table are neatly arranged.",No a keys nor a phone.
253,1,4,"At a sunny picnic under a clear blue sky, you can see an intricate guitar, a cow, a delicious grape, a painting, however with notable absence of a sunglasses.","['guitar', 'cow', 'grape', 'painting']",['sunglasses'],"In a bustling kitchen, a guitar, a furry cow, a homemade grape, and a simple painting create a cozy setup.",without a sunglasses.
254,1,2,"On a wooden dining table, a warm chicken sits alongside a vase, while surprisingly, there's no a backpack.","['chicken', 'vase']",['backpack'],"At a sunny picnic, a chicken sits next to a vase.",It's odd that there's no a backpack.
255,2,4,"On a wooden dining table amidst a quiet afternoon, you can see an egg, an old grass, a soft rug, a simple bin, though without a plate nor a wallet.","['egg', 'grass', 'rug', 'bin']","['plate', 'wallet']","A homemade egg is freshly baked at a lively barbecue, with a new grass, a rug, a bin nearby.",No a plate nor a wallet.
256,0,2,"On a soft rug in the living room, a tall chef sits beside a horse, yet ","['chef', 'horse']",[],"Near a quiet pond, a young chef sits next to a lively horse.",
257,1,1,"At a serene lake, a vacuum cleaner rests quietly, while there's no sign of an umbrella.",['vacuum cleaner'],['umbrella'],"In a bright room, a colorful vacuum cleaner shines brightly.",A umbrella is conspicuously absent.
258,1,4,"A simple spoon is placed neatly in a sunny park, with a chair, a tiger, a new pillow nearby, but with no a colander.","['spoon', 'chair', 'tiger', 'pillow']",['colander'],"Near a quiet pond, a bright spoon, a soft chair, a tiger, and an intricate pillow are on display.",It's odd that there's no a colander.
259,2,2,"At a sunny picnic, a teenager sits beside a savory strawberry, however surprisingly, there's no a blender or a watch.","['teenager', 'strawberry']","['blender', 'watch']","On a wooden dining table, a teenager sits near a ripe strawberry.",Nowhere in the scene can you find a blender or a watch.
260,1,3,"In a sunny park, a large colander, a wolf, and a focused child share the space, however it's odd that there's no a mug.","['colander', 'wolf', 'child']",['mug'],"A colander shines brightly in a grassy field, with an adorable wolf, a child nearby.",with no mug to be seen.
261,0,1,"On a grassy hill, a bucket is placed neatly, and yet ",['bucket'],[],"In a busy street, a bucket rests quietly.",
262,2,1,"On a grassy hill, a shiny toy is on display, yet there's no sign of a toaster or a pencil.",['toy'],"['toaster', 'pencil']","Near a calm river, a simple toy is placed neatly.",It's odd that there's no a toaster or a pencil.
263,1,3,"In a modern office, a wooden futon, a focused teenager, and a soft wardrobe create a cozy setup, and yet without a knife.","['futon', 'teenager', 'wardrobe']",['knife'],"In a quaint study as the wind gently blows, you can see a futon, a teenager, a wardrobe.",Nowhere in the scene can you find a knife.
264,0,2,"On a grassy hill, a phone sits beside a bright sun, and yet ","['phone', 'sun']",[],"Near a calm river, a bright phone sits beside an old sun.",
265,1,1,"In a cozy bakery, a pancake sits ready to eat, but it's odd that there's no a hat.",['pancake'],['hat'],"At a lively barbecue, a delicious pancake is being prepared.",No a hat.
266,2,1,"At a serene lake, a bowl rests quietly, yet nowhere in the scene can you find a phone or a spoon.",['bowl'],"['phone', 'spoon']","In a busy street, a colorful bowl rests quietly.",with notable absence of a phone or a spoon.
267,2,3,"In a busy street, a train, an intricate microwave, and an oven share the space, yet there's no sign of a gloves nor a vase.","['train', 'microwave', 'oven']","['gloves', 'vase']","Near a calm river, a train, a small microwave, and an old oven create a cozy setup.",It's odd that there's no a gloves nor a vase.
268,0,1,"Near a quiet pond, a dog roams freely, and yet ",['dog'],[],"At a busy pet store, a graceful dog roams freely.",
269,1,2,"In a modern office, a rustic table sits near a hammer, while with no hat to be seen.","['table', 'hammer']",['hat'],"In a rustic cabin, a plush table sits alongside a hammer.",with no a hat.
270,2,3,"A curious rabbit roams freely in a bustling kitchen, with a tasty burger, a mirror nearby, and yet without a hat nor a candle.","['rabbit', 'burger', 'mirror']","['hat', 'candle']","On a wooden dining table amidst a quiet afternoon, you can see a rabbit, a crisp burger, a mirror.",without a hat and no a candle.
271,0,2,"At a sunny picnic, an old camera sits near a delicious soup, however ","['camera', 'soup']",[],"At a lively barbecue, a shiny camera sits beside a fresh soup.",
272,1,4,"An elegant rug is placed neatly at a lively barbecue, with a soup, a sturdy coffee table, a wolf nearby, however there's no sign of a phone.","['rug', 'soup', 'coffee table', 'wolf']",['phone'],"In a cozy bakery with sunlight streaming in, you can see a sturdy rug, a warm soup, a coffee table, a wolf.",without a phone.
273,2,3,"In a modern office under a clear blue sky, you can see a vintage coffee table, a shiny camera, a colorful watch, and yet nowhere in the scene can you find an umbrella or a pillow.","['coffee table', 'camera', 'watch']","['umbrella', 'pillow']","In a cozy living room amidst a quiet afternoon, you can see a coffee table, a simple camera, a large watch.",with notable absence of an umbrella nor a pillow.
274,2,2,"In a cozy living room, a futon sits near an old scarf, though no a toaster or a blanket.","['futon', 'scarf']","['toaster', 'blanket']","In a modern office, a modern futon sits alongside a scarf.",without a toaster or a blanket.
275,2,1,"In a quaint study, a modern table is on display, though surprisingly, there's no a headphones nor a cup.",['table'],"['headphones', 'cup']","In a rustic cabin, a table is placed neatly.",without a headphones nor a cup.
276,1,1,"In a bright room, a simple television rests quietly, but no a towel.",['television'],['towel'],"In a bright room, a television sits in the corner.",with notable absence of a towel.
277,0,2,"In a bustling kitchen, a cake sits near a person, and yet ","['cake', 'person']",[],"In a cozy bakery, a cake sits near an elderly person.",
278,1,3,"On a wooden dining table amidst a quiet afternoon, you can see a juicy steak, a delicious waffle, a dustpan, but you'd expect a microwave, but it's missing.","['steak', 'waffle', 'dustpan']",['microwave'],"A ripe steak sits ready to eat at a lively barbecue, with a waffle, a dustpan nearby.",No a microwave.
279,0,1,"On a soft rug in the living room, a horse watches curiously, however ",['horse'],[],"At a busy pet store, an adorable horse watches curiously.",
280,0,3,"In a modern office amidst a quiet afternoon, you can see a cozy sofa, a book, a cozy coffee table, though ","['sofa', 'book', 'coffee table']",[],"In a cozy living room, a sofa, a new book, and an elegant coffee table share the space.",
281,0,2,"At a serene lake, a small pillow sits near an intricate truck, while ","['pillow', 'truck']",[],"On a grassy hill, a pillow sits beside a truck.",
282,1,4,"A thoughtful elderly person walks past at a busy market, with a colorful vacuum cleaner, a microphone, a dustpan nearby, however with no a table.","['elderly person', 'vacuum cleaner', 'microphone', 'dustpan']",['table'],"At a busy market as the wind gently blows, you can see an elderly person, a beautiful vacuum cleaner, a microphone, an old dustpan.","Surprisingly, there's no a table."
283,2,2,"In a busy street, a sun sits next to a beautiful violin, however with notable absence of a vase or a pillow.","['sun', 'violin']","['vase', 'pillow']","In a busy street, a sun sits beside a violin.",It's odd that there's no a vase and no a pillow.
284,2,4,"A fan rests quietly on a wooden dining table, with an intricate puzzle, a delicious orange, a photo frame nearby, but with notable absence of a wallet and no a kettle.","['fan', 'puzzle', 'orange', 'photo frame']","['wallet', 'kettle']","In a cozy bakery with soft music playing, you can see a large fan, a puzzle, a delicious orange, a photo frame.",with no a wallet or a kettle.
285,1,3,"A colorful book is on display on a wooden dining table, with a small vase, a blueberry nearby, and yet with no pillow to be seen.","['book', 'vase', 'blueberry']",['pillow'],"A book shines brightly at a sunny picnic, with a new vase, a blueberry nearby.",with notable absence of a pillow.
286,2,3,"A beautiful screwdriver sits in the corner at a sunny picnic, with a homemade chicken, a modern rug nearby, but with no a backpack or a blender.","['screwdriver', 'chicken', 'rug']","['backpack', 'blender']","On a wooden dining table, a screwdriver, a chicken, and a rug share the space.",with no a backpack or a blender.
287,0,4,"A playful lion sits comfortably on a soft rug in the living room, with a watch, a curious hamster, a table nearby, and yet ","['lion', 'watch', 'hamster', 'table']",[],"An adorable lion plays happily on a soft rug in the living room, with a watch, a hamster, a cozy table nearby.",
288,0,3,"A small clock is placed neatly at a sunny picnic, with a chocolate, a furry sheep nearby, though ","['clock', 'chocolate', 'sheep']",[],"A clock shines brightly at a lively barbecue, with a chocolate, a sheep nearby.",
289,0,4,"In a crowded café amidst a quiet afternoon, you can see an intricate wrench, a bright saw, a large blanket, a chef, however ","['wrench', 'saw', 'blanket', 'chef']",[],"In a crowded café with soft music playing, you can see a bright wrench, a saw, a bright blanket, a tall chef.",
290,1,4,"A pineapple is freshly baked in a cozy bakery, with a boat, a curtain, a shiny kettle nearby, however there's no sign of a spoon.","['pineapple', 'boat', 'curtain', 'kettle']",['spoon'],"A sweet pineapple awaits on a plate at a lively barbecue, with a colorful boat, a new curtain, a small kettle nearby.",with no spoon to be seen.
291,2,1,"At a lively barbecue, a savory pizza is being prepared, yet there's no sign of a kettle or a whisk.",['pizza'],"['kettle', 'whisk']","In a bustling kitchen, a fresh pizza is freshly baked.",with notable absence of a kettle or a whisk.
292,1,4,"In a cozy bakery with sunlight streaming in, you can see a radio, a warm pineapple, a helicopter, a shiny cup, but there's no sign of a stove.","['radio', 'pineapple', 'helicopter', 'cup']",['stove'],"A radio is on display in a bustling kitchen, with a pineapple, a helicopter, a simple cup nearby.",There's no sign of a stove.
293,2,2,"On a grassy hill, a bright drill sits alongside a hammer, however there's no sign of a knife nor a keys.","['drill', 'hammer']","['knife', 'keys']","In a busy street, a drill sits alongside a hammer.",There's no sign of a knife nor a keys.
294,1,1,"At a serene lake, a small tape measure sits in the corner, however with no a headphones.",['tape measure'],['headphones'],"In a bright room, a tape measure is placed neatly.","You'd expect a headphones, but it's missing."
295,2,4,"In a bustling kitchen, a tree, an old doll, a bright puzzle, and a fresh lemon are neatly arranged, but with notable absence of a table and no a blender.","['tree', 'doll', 'puzzle', 'lemon']","['table', 'blender']","In a cozy bakery, a beautiful tree, a doll, a simple puzzle, and a juicy lemon are neatly arranged.",Nowhere in the scene can you find a table or a blender.
296,2,4,"In a rustic cabin under a clear blue sky, you can see a pillow, a sofa, a kettle, a headphones, but with notable absence of a cutting board nor a blanket.","['pillow', 'sofa', 'kettle', 'headphones']","['cutting board', 'blanket']","A pillow sits in the corner in a modern office, with a plush sofa, a kettle, a headphones nearby.",There's no sign of a cutting board nor a blanket.
297,0,3,"In a bustling kitchen, an apple, a simple scooter, and a screwdriver are neatly arranged, yet ","['apple', 'scooter', 'screwdriver']",[],"At a sunny picnic, an apple, a small scooter, and an old screwdriver create a cozy setup.",
298,0,3,"On a wooden dining table, a young child, a fan, and a bacon are neatly arranged, while ","['child', 'fan', 'bacon']",[],"On a wooden dining table, a young child, a fan, and a ripe bacon are neatly arranged.",
299,2,4,"A colorful bin is placed neatly in a bustling kitchen, with a beautiful hammer, a savory chocolate, a bright airplane nearby, but no a kettle or a headphones.","['bin', 'hammer', 'chocolate', 'airplane']","['kettle', 'headphones']","At a lively barbecue, a bin, an old hammer, a ripe chocolate, and an airplane are neatly arranged.",Nowhere in the scene can you find a kettle nor a headphones.
300,1,1,"In a busy street, a drum is placed neatly, however with no lamp to be seen.",['drum'],['lamp'],"At a serene lake, a beautiful drum shines brightly.",with no a lamp.
301,1,4,"At a busy pet store with sunlight streaming in, you can see a bright sun, a cheerful woman, a lively goose, a hammer, and yet with notable absence of a colander.","['sun', 'woman', 'goose', 'hammer']",['colander'],"In a sunny park with soft music playing, you can see a sun, a woman, an adorable goose, a hammer.",with notable absence of a colander.
302,2,1,"At a serene lake, a large airplane is on display, yet it's odd that there's no a laptop nor a microwave.",['airplane'],"['laptop', 'microwave']","In a bright room, an airplane rests quietly.","Surprisingly, there's no a laptop and no a microwave."
303,0,2,"At a lively barbecue, a fish sits near an orange, yet ","['fish', 'orange']",[],"At a lively barbecue, a homemade fish sits beside an orange.",
304,0,3,"A coffee table rests quietly in a modern office, with a fork, a vacuum cleaner nearby, but ","['coffee table', 'fork', 'vacuum cleaner']",[],"In a cozy living room as the wind gently blows, you can see a coffee table, a fork, a shiny vacuum cleaner.",
305,2,3,"On a wooden dining table with soft music playing, you can see a mop, a warm waffle, a savory sushi, but it's odd that there's no a camera and no a bowl.","['mop', 'waffle', 'sushi']","['camera', 'bowl']","At a sunny picnic with soft music playing, you can see a beautiful mop, a waffle, a sushi.",without a camera and no a bowl.
306,2,3,"At a train station under a clear blue sky, you can see a bright candle, a new piano, a focused teenager, however without a table and no a headphones.","['candle', 'piano', 'teenager']","['table', 'headphones']","At a train station, a small candle, a new piano, and a teenager are on display.",Nowhere in the scene can you find a table or a headphones.
307,2,2,"At a lively barbecue, a table sits next to a savory pancake, yet it's odd that there's no a table nor a vase.","['table', 'pancake']","['table', 'vase']","In a bustling kitchen, a soft table sits alongside a pancake.","Surprisingly, there's no a table or a vase."
308,1,3,"An old mountain is placed neatly in a quaint study, with a book, a sofa nearby, though surprisingly, there's no a plate.","['mountain', 'book', 'sofa']",['plate'],"In a cozy living room under a clear blue sky, you can see a mountain, a book, a vintage sofa.",with no plate to be seen.
309,1,2,"Near a calm river, a beautiful scooter sits near a whisk, though it's odd that there's no a headphones.","['scooter', 'whisk']",['headphones'],"At a serene lake, a colorful scooter sits alongside a whisk.",It's odd that there's no a headphones.
310,1,2,"At a lively barbecue, a ripe soup sits beside a clock, though with no pan to be seen.","['soup', 'clock']",['pan'],"On a wooden dining table, a juicy soup sits near a bright clock.","You'd expect a pan, but it's missing."
311,0,2,"In a cozy bakery, a chicken sits near an intricate dustpan, yet ","['chicken', 'dustpan']",[],"On a wooden dining table, a chicken sits alongside a dustpan.",
312,1,3,"A cat rests quietly near a quiet pond, with a soft lamp, a focused doctor nearby, however surprisingly, there's no an umbrella.","['cat', 'lamp', 'doctor']",['umbrella'],"Near a quiet pond, a gentle cat, a modern lamp, and a doctor share the space.",A umbrella is conspicuously absent.
313,2,1,"On a grassy hill, a pencil shines brightly, while with notable absence of a backpack or a knife.",['pencil'],"['backpack', 'knife']","In a bright room, a large pencil shines brightly.",with no a backpack or a knife.
314,2,1,"In a quaint study, a stool is placed neatly, and yet it's odd that there's no a phone or a sunglasses.",['stool'],"['phone', 'sunglasses']","In a sunlit bedroom, a stool rests quietly.",There's no sign of a phone nor a sunglasses.
315,0,4,"On a wooden dining table with soft music playing, you can see a crisp ice cream, a rug, a violin, a small towel, however ","['ice cream', 'rug', 'violin', 'towel']",[],"In a bustling kitchen with sunlight streaming in, you can see a crisp ice cream, an elegant rug, a violin, a towel.",
316,1,1,"In a grassy field, a horse roams freely, and yet nowhere in the scene can you find a book.",['horse'],['book'],"On a soft rug in the living room, a horse sits comfortably.",without a book.
317,1,1,"On a wooden dining table, a ripe orange is being prepared, and yet there's no sign of a kettle.",['orange'],['kettle'],"At a lively barbecue, a sweet orange sits ready to eat.","Surprisingly, there's no a kettle."
318,1,2,"Near a quiet pond, a playful dog sits near a cup, while nowhere in the scene can you find a hat.","['dog', 'cup']",['hat'],"On a soft rug in the living room, a playful dog sits near a small cup.",with no hat to be seen.
319,1,4,"On a wooden dining table amidst a quiet afternoon, you can see a friendly man, a tree, a ripe bacon, a candle, though with no a table.","['man', 'tree', 'bacon', 'candle']",['table'],"A busy man relaxes quietly at a sunny picnic, with an old tree, a juicy bacon, a bright candle nearby.",No a table.
320,2,4,"At a train station under a clear blue sky, you can see a headphones, a clock, a plate, a tall teacher, however no a camera nor a pencil.","['headphones', 'clock', 'plate', 'teacher']","['camera', 'pencil']","In a crowded café, a simple headphones, a clock, a large plate, and a young teacher are neatly arranged.",There's no sign of a camera nor a pencil.
321,2,3,"In a quiet library, a smiling teacher, an intricate flower, and a microwave are neatly arranged, though with notable absence of a backpack and no a phone.","['teacher', 'flower', 'microwave']","['backpack', 'phone']","In a quiet library, a young teacher, an old flower, and a large microwave share the space.",No a backpack nor a phone.
322,2,2,"At a serene lake, a colorful drill sits near a pot, and yet no a glass and no a camera.","['drill', 'pot']","['glass', 'camera']","In a busy street, a drill sits near a pot.",Nowhere in the scene can you find a glass and no a camera.
323,0,4,"A bright helicopter shines brightly in a rustic cabin, with a plate, a plush bench, a hat nearby, but ","['helicopter', 'plate', 'bench', 'hat']",[],"In a sunlit bedroom with soft music playing, you can see a small helicopter, a small plate, a bench, a hat.",
324,2,3,"At a lively barbecue, a fish, a colorful book, and a bucket create a cozy setup, yet without a camera or a microwave.","['fish', 'book', 'bucket']","['camera', 'microwave']","A fish is neatly arranged at a lively barbecue, with a simple book, a bucket nearby.",It's odd that there's no a camera or a microwave.
325,2,4,"A salad is being prepared in a bustling kitchen, with a small oven, a small car, a piano nearby, but it's odd that there's no a kettle and no a vase.","['salad', 'oven', 'car', 'piano']","['kettle', 'vase']","A salad is freshly baked in a bustling kitchen, with a simple oven, an intricate car, a piano nearby.",It's odd that there's no a kettle and no a vase.
326,0,3,"In a bustling kitchen amidst a quiet afternoon, you can see a simple scarf, a desk, a warm mango, though ","['scarf', 'desk', 'mango']",[],"At a sunny picnic as the wind gently blows, you can see a new scarf, a vintage desk, a mango.",
327,2,3,"In a busy street, an old mug, an intricate scarf, and a shiny mountain are on display, however without a pen nor a sunglasses.","['mug', 'scarf', 'mountain']","['pen', 'sunglasses']","An intricate mug rests quietly in a bright room, with a scarf, a large mountain nearby.",Nowhere in the scene can you find a pen or a sunglasses.
328,1,3,"A playful tiger plays happily at a busy pet store, with a boat, a simple paintbrush nearby, yet no a blender.","['tiger', 'boat', 'paintbrush']",['blender'],"On a soft rug in the living room, a tiger, a boat, and a paintbrush are neatly arranged.",without a blender.
329,2,3,"In a quaint study, a mop, a keys, and a dresser are neatly arranged, however with notable absence of a headphones and no a plate.","['mop', 'keys', 'dresser']","['headphones', 'plate']","In a modern office, a mop, a keys, and a wooden dresser are on display.",Nowhere in the scene can you find a headphones nor a plate.
330,0,1,"In a bright room, a tablet rests quietly, but ",['tablet'],[],"On a grassy hill, a tablet shines brightly.",
331,0,3,"Near a calm river, a simple painting, a shiny spoon, and a hammer are on display, but ","['painting', 'spoon', 'hammer']",[],"A shiny painting sits in the corner near a calm river, with a shiny spoon, a bright hammer nearby.",
332,0,2,"On a sunny beach, a grass sits beside a child, yet ","['grass', 'child']",[],"On a sunny beach, an intricate grass sits beside a child.",
